movie_id,title,genre,year,popularity_score
M00001,Film 00001,Action,2007,0.4907069943545209
M00002,Film 00002,Drama,2023,0.9378264549749828
M00003,Film 00003,Sci-Fi,2023,0.5717280523760754
M00004,Film 00004,Animation,1995,0.4734894010569538
M00005,Film 00005,Animation,2018,0.2669756630918936
M00006,Film 00006,Documentary,2004,0.3315689973425522
M00007,Film 00007,Documentary,2010,0.5206724024715378
M00008,Film 00008,Sci-Fi,2005,0.4389114603050467
M00009,Film 00009,Romance,2017,0.021612079880330426
M00010,Film 00010,Action,2024,0.8262919241943578
M00011,Film 00011,Romance,2017,0.8961607718397667
M00012,Film 00012,Drama,2022,0.14024908899861077
M00013,Film 00013,Drama,2023,0.5540361435390494
M00014,Film 00014,Action,1993,0.10857574113544355
M00015,Film 00015,Action,1998,0.6722400930398117
M00016,Film 00016,Thriller,2015,0.2812337838390083
M00017,Film 00017,Animation,2010,0.6594226346919018
M00018,Film 00018,Thriller,1991,0.7269946142868826
M00019,Film 00019,Drama,1993,0.768647491917657
M00020,Film 00020,Drama,2008,0.10774094595589656
M00021,Film 00021,Comedy,2011,0.9160118451376079
M00022,Film 00022,Thriller,1995,0.23021399089488082
M00023,Film 00023,Thriller,1995,0.03741255617617978
M00024,Film 00024,Drama,1994,0.5548524693914834
M00025,Film 00025,Sci-Fi,2009,0.37092228386243875
M00026,Film 00026,Comedy,1990,0.8297897431324132
M00027,Film 00027,Comedy,2010,0.8082514720643018
M00028,Film 00028,Romance,2006,0.31713889282271535
M00029,Film 00029,Sci-Fi,2006,0.952899395069745
M00030,Film 00030,Romance,2013,0.2909178381401186
M00031,Film 00031,Sci-Fi,2008,0.5150571292317145
M00032,Film 00032,Animation,2015,0.25596509056760275
M00033,Film 00033,Action,2016,0.9360435700489633
M00034,Film 00034,Sci-Fi,2022,0.16460781758201815
M00035,Film 00035,Comedy,2017,0.04491061939232899
M00036,Film 00036,Romance,2008,0.43509706000303794
M00037,Film 00037,Animation,2007,0.992375564055837
M00038,Film 00038,Thriller,1998,0.891677266254914
M00039,Film 00039,Action,2010,0.7486080194569492
M00040,Film 00040,Action,1994,0.8907924908785249
M00041,Film 00041,Romance,2022,0.8934466396978632
M00042,Film 00042,Comedy,2019,0.5188583603864491
M00043,Film 00043,Sci-Fi,1994,0.315929051830793
M00044,Film 00044,Thriller,2017,0.772012432110988
M00045,Film 00045,Thriller,1994,0.6616612631677611
M00046,Film 00046,Sci-Fi,2015,0.37365772887371007
M00047,Film 00047,Thriller,1993,0.09446666806151527
M00048,Film 00048,Action,2007,0.746789611349026
M00049,Film 00049,Animation,2013,0.2624605159228647
M00050,Film 00050,Romance,2015,0.9368131505337792
M00051,Film 00051,Drama,2004,0.24097057500568475
M00052,Film 00052,Drama,2022,0.12275793241148603
M00053,Film 00053,Comedy,2017,0.8311126721249061
M00054,Film 00054,Sci-Fi,1997,0.15328431662449404
M00055,Film 00055,Romance,2013,0.1792683081577391
M00056,Film 00056,Animation,2015,0.5993827915208435
M00057,Film 00057,Romance,2001,0.8745620408374645
M00058,Film 00058,Animation,2015,0.19643466571457324
M00059,Film 00059,Drama,2021,0.31032367290009477
M00060,Film 00060,Animation,2018,0.7774048382411776
M00061,Film 00061,Action,2016,0.9718264260609674
M00062,Film 00062,Romance,2012,0.5007411862023423
M00063,Film 00063,Documentary,1999,0.14389750255125078
M00064,Film 00064,Comedy,2017,0.013936287708201545
M00065,Film 00065,Romance,2002,0.22965602999885526
M00066,Film 00066,Documentary,2008,0.13182221778652103
M00067,Film 00067,Documentary,2001,0.6776586736128575
M00068,Film 00068,Drama,2000,0.12183250462853112
M00069,Film 00069,Romance,1995,0.506329931620633
M00070,Film 00070,Romance,2023,0.6942624356428865
M00071,Film 00071,Sci-Fi,1995,0.5811166092209024
M00072,Film 00072,Romance,1993,0.19977565166005762
M00073,Film 00073,Action,2022,0.8041245261822627
M00074,Film 00074,Animation,2009,0.7154071296158017
M00075,Film 00075,Action,2005,0.7389840039155418
M00076,Film 00076,Documentary,2015,0.13105775155731325
M00077,Film 00077,Action,2003,0.12375380365034461
M00078,Film 00078,Animation,1994,0.9275625510065076
M00079,Film 00079,Drama,2015,0.39757819382494064
M00080,Film 00080,Action,1996,0.30094869178093975
M00081,Film 00081,Documentary,2009,0.4885840453515333
M00082,Film 00082,Sci-Fi,2023,0.6628642127635824
M00083,Film 00083,Thriller,2022,0.9556232570469699
M00084,Film 00084,Drama,2002,0.286446226882055
M00085,Film 00085,Thriller,2017,0.9248084293120271
M00086,Film 00086,Documentary,2011,0.024859491386256316
M00087,Film 00087,Documentary,2006,0.5551980423268247
M00088,Film 00088,Thriller,1994,0.6339751116810851
M00089,Film 00089,Thriller,2003,0.1058974037507533
M00090,Film 00090,Romance,2012,0.14033959706391264
M00091,Film 00091,Action,2024,0.41911431931630383
M00092,Film 00092,Animation,1990,0.9662319121431817
M00093,Film 00093,Documentary,2015,0.5960425532343728
M00094,Film 00094,Sci-Fi,2019,0.9330232216002112
M00095,Film 00095,Animation,2023,0.8043609156129707
M00096,Film 00096,Documentary,2004,0.4673816015552915
M00097,Film 00097,Drama,1994,0.7847634492521874
M00098,Film 00098,Romance,1999,0.017836783976987736
M00099,Film 00099,Sci-Fi,2019,0.10914399676573494
M00100,Film 00100,Drama,2020,0.8294286148827363
M00101,Film 00101,Sci-Fi,2012,0.7968170883251617
M00102,Film 00102,Sci-Fi,1994,0.2326407419664337
M00103,Film 00103,Thriller,1994,0.5307695905990535
M00104,Film 00104,Drama,2006,0.6060158207000109
M00105,Film 00105,Action,2010,0.8677389537760112
M00106,Film 00106,Drama,1991,0.6031071573387257
M00107,Film 00107,Action,2014,0.4125715692736803
M00108,Film 00108,Animation,2009,0.3741840434071827
M00109,Film 00109,Romance,1990,0.4258820863735099
M00110,Film 00110,Action,1993,0.6519310255799742
M00111,Film 00111,Sci-Fi,2005,0.8674906317523249
M00112,Film 00112,Action,2015,0.45389688207629975
M00113,Film 00113,Animation,2018,0.24783956295135812
M00114,Film 00114,Documentary,2005,0.23666236299758114
M00115,Film 00115,Sci-Fi,2000,0.7460142802434464
M00116,Film 00116,Romance,2023,0.8165687634239104
M00117,Film 00117,Comedy,2006,0.10527807985412496
M00118,Film 00118,Documentary,2001,0.06655885695517816
M00119,Film 00119,Thriller,2005,0.5944336637564518
M00120,Film 00120,Documentary,1990,0.14617324419269828
M00121,Film 00121,Thriller,2000,0.8246641904563413
M00122,Film 00122,Documentary,2008,0.31033467392407443
M00123,Film 00123,Documentary,2022,0.14387193297114265
M00124,Film 00124,Animation,2015,0.9209704724874502
M00125,Film 00125,Sci-Fi,2017,0.16553172273527816
M00126,Film 00126,Comedy,2009,0.28472008233793555
M00127,Film 00127,Comedy,1993,0.15361339519205863
M00128,Film 00128,Sci-Fi,2003,0.11549006366535497
M00129,Film 00129,Documentary,2024,0.021148016336440034
M00130,Film 00130,Comedy,1991,0.05539540916426011
M00131,Film 00131,Thriller,2020,0.1746414709358527
M00132,Film 00132,Thriller,2013,0.05338193262717539
M00133,Film 00133,Comedy,1999,0.5911438161109712
M00134,Film 00134,Thriller,2017,0.6807145267995064
M00135,Film 00135,Drama,2019,0.39363045683202824
M00136,Film 00136,Documentary,1991,0.3179910969520494
M00137,Film 00137,Drama,1993,0.5045262370222301
M00138,Film 00138,Romance,2013,0.8750049422346086
M00139,Film 00139,Comedy,2024,0.851131626822206
M00140,Film 00140,Documentary,1990,0.04347506201279194
M00141,Film 00141,Comedy,2013,0.18149840959652408
M00142,Film 00142,Drama,1994,0.23674487110439602
M00143,Film 00143,Drama,2012,0.24938757583221183
M00144,Film 00144,Comedy,2011,0.5712326517427727
M00145,Film 00145,Animation,1993,0.4162624257031923
M00146,Film 00146,Thriller,2013,0.04925411992759399
M00147,Film 00147,Romance,2021,0.3736141384595716
M00148,Film 00148,Action,2020,0.5237529487176372
M00149,Film 00149,Action,1991,0.10167190290371597
M00150,Film 00150,Thriller,1998,0.8334585537885597
M00151,Film 00151,Action,1998,0.051961866465104256
M00152,Film 00152,Comedy,2005,0.9248418690180621
M00153,Film 00153,Drama,1995,0.0991131415798755
M00154,Film 00154,Comedy,2019,0.8435749515977528
M00155,Film 00155,Animation,2017,0.9026531439276171
M00156,Film 00156,Sci-Fi,2018,0.9795706805865927
M00157,Film 00157,Animation,1996,0.8020258802735936
